EmployeeIndex	Attrition_Probability
0	0.8722377
1	0.009303418
2	0.55077714
3	0.39432833
4	0.13628623
5	0.024486527
6	0.053428125
7	0.16046445
8	0.07053191
9	0.0057749515
10	0.09349649
11	0.025114428
12	0.10429196
13	0.04933342
14	0.94501114
15	0.01784874
16	0.014946258
17	0.23817664
18	0.04833083
19	0.067969985
20	0.043749265
21	0.7839433
22	0.014016892
23	0.0433738
24	0.039815772
25	0.01282986
26	0.94837195
27	0.054749735
28	0.018891394
29	0.08083915
30	0.09084772
31	0.019547874
32	0.03864901
33	0.71108353
34	0.9018446
35	0.0010376563
36	0.5453439
37	0.07087419
38	0.06955571
39	0.014988825
40	0.08358351
41	0.12930909
42	0.97298706
43	0.01982053
44	0.019814745
45	0.033953317
46	0.1817869
47	0.20417958
48	0.037559375
49	0.027094191
50	0.87104124
51	0.9557027
52	0.05460057
53	0.05860343
54	0.13588823
55	0.042981856
56	0.06378309
57	0.04276438
58	0.011623836
59	0.0072414214
60	0.007165577
61	0.05235343
62	0.061236687
63	0.112924665
64	0.01548076
65	0.015124662
66	0.24623324
67	0.012463908
68	0.01933111
69	0.045864407
70	0.38616505
71	0.0013867987
72	0.066760376
73	0.0037141824
74	0.056081817
75	0.007871674
76	0.05627971
77	0.02185376
78	0.038162
79	0.1306832
80	0.022914922
81	0.06272626
82	0.063254446
83	0.05780957
84	0.06586893
85	0.03849991
86	0.37332505
87	0.008841302
88	0.0047387974
89	0.60630393
90	0.007316542
91	0.12038115
92	0.027577328
93	0.018071236
94	0.04772641
95	0.019116754
96	0.03533287
97	0.10039317
98	0.051288493
99	0.065418825
100	0.8915149
101	0.03424677
102	0.9169375
103	0.0051409793
104	0.05371159
105	0.019730201
106	0.11507136
107	0.8582532
108	0.011553123
109	0.36024913
110	0.02931744
111	0.8565418
112	0.15363479
113	0.026985332
114	0.037646018
115	0.029962972
116	0.01758563
117	0.031621445
118	0.121353105
119	0.00981337
120	0.052391566
121	0.07675088
122	0.101439096
123	0.024907853
124	0.9272803
125	0.09896798
126	0.030713214
127	0.9874607
128	0.028950159
129	0.05051535
130	0.040094387
131	0.124336444
132	0.43752888
133	0.0847622
134	0.036042355
135	0.048066404
136	0.027990079
137	0.010911391
138	0.19810028
139	0.0728409
140	0.943975
141	0.02199938
142	0.049763933
143	0.20872854
144	0.079016544
145	0.018397065
146	0.039543126
147	0.067335024
148	0.05643234
149	0.58291245
150	0.013636451
151	0.022332978
152	0.04021523
153	0.06361568
154	0.10698456
155	0.031859677
156	0.10546419
157	0.0795412
158	0.043652456
159	0.053412434
160	0.027379105
161	0.15349296
162	0.025399407
163	0.02338701
164	0.14161737
165	0.016786072
166	0.02004047
167	0.033724453
168	0.046365608
169	0.042795535
170	0.0318379
171	0.9762207
172	0.06230567
173	0.01777869
174	0.08324395
175	0.05046141
176	0.013450806
177	0.9366651
178	0.09091727
179	0.108955584
180	0.081495054
181	0.0557595
182	0.8675524
183	0.028637419
184	0.010181573
185	0.013074494
186	0.0087787565
187	0.015140359
188	0.035295367
189	0.0077710557
190	0.032271538
191	0.10440496
192	0.8926922
193	0.0038421862
194	0.008736059
195	0.032895923
196	0.052086677
197	0.02328958
198	0.047273245
199	0.057591714
200	0.080177195
201	0.034972984
202	0.08331528
203	0.031476244
204	0.9205416
205	0.6597737
206	0.10328366
207	0.119884364
208	0.021617062
209	0.015793867
210	0.87911034
211	0.03975444
212	0.12767528
213	0.0089098215
214	0.80693173
215	0.036505226
216	0.978125
217	0.030422244
218	0.08256631
219	0.019925756
220	0.018229526
221	0.061590955
222	0.08257939
223	0.05025041
224	0.0028825882
225	0.027667185
226	0.069848716
227	0.01689054
228	0.13737603
229	0.8439605
230	0.13635688
231	0.025024671
232	0.26443633
233	0.023011189
234	0.9482723
235	0.014210123
236	0.87051743
237	0.08485854
238	0.0486816
239	0.33984756
240	0.046726555
241	0.0735936
242	0.063592814
243	0.042418644
244	0.0036339834
245	0.06696155
246	0.0090446165
247	0.010851831
248	0.017404843
249	0.007574086
250	0.7786513
251	0.03857523
252	0.07017834
253	0.08106014
254	0.03665831
255	0.020512836
256	0.052394014
257	0.0020160165
258	0.0495105
259	0.88350624
260	0.13976456
261	0.017906038
262	0.03432304
263	0.1533941
264	0.9148275
265	0.07022285
266	0.010174641
267	0.1179963
268	0.00869779
269	0.0017884134
270	0.023629865
271	0.77767986
272	0.01769597
273	0.019543126
274	0.35263368
275	0.014663269
276	0.016759831
277	0.12677486
278	0.02661526
279	0.07749892
280	0.00591766
281	0.044552796
282	0.08368578
283	0.06619707
284	0.23254487
285	0.0041363616
286	0.89382315
287	0.015317476
288	0.9347777
289	0.009424944
290	0.12317345
291	0.08906766
292	0.41718137
293	0.17221639
294	0.15898567
295	0.04300486
296	0.9307566
297	0.027540242
298	0.041278306
299	0.0111725675
300	0.047396466
301	0.9719606
302	0.09712533
303	0.030835101
304	0.0043599885
305	0.036797993
306	0.023461455
307	0.044675477
308	0.010995205
309	0.013188589
310	0.7560491
311	0.05598583
312	0.015677167
313	0.11438751
314	0.0103760855
315	0.03383702
316	0.081084885
317	0.83387774
318	0.7295189
319	0.29767463
320	0.102956794
321	0.0434599
322	0.013741611
323	0.91517985
324	0.0035682756
325	0.038232345
326	0.05302755
327	0.90284264
328	0.38383546
329	0.0052303867
330	0.27318084
331	0.038465567
332	0.01681133
333	0.24069619
334	0.008625144
335	0.053521108
336	0.8865428
337	0.016361801
338	0.049908813
339	0.071770854
340	0.021619886
341	0.011702182
342	0.019370517
343	0.13528322
344	0.0032252898
345	0.012608899
346	0.052713055
347	0.2810721
348	0.015054892
349	0.07207107
350	0.158919
351	0.030120125
352	0.06714914
353	0.022795757
354	0.2085629
355	0.03542106
356	0.010472174
357	0.9873046
358	0.014295245
359	0.06495054
360	0.011273837
361	0.029761126
362	0.15741208
363	0.96872014
364	0.033297155
365	0.050636597
366	0.86088854
367	0.010387848
368	0.83134997
369	0.087814294
370	0.92931986
371	0.013425021
372	0.1777971
373	0.050895404
374	0.03030518
375	0.038316067
376	0.058822434
377	0.0067128106
378	0.88984424
379	0.027632194
380	0.05813649
381	0.15887205
382	0.19151574
383	0.076746374
384	0.1212197
385	0.9570899
386	0.07438228
387	0.07731674
388	0.040276613
389	0.14878511
390	0.027164852
391	0.08274138
392	0.047161095
393	0.08241234
394	0.059423875
395	0.09237823
396	0.11886557
397	0.45311418
398	0.011203321
399	0.030463539
400	0.049891032
401	0.06855422
402	0.09024141
403	0.07257562
404	0.043026
405	0.6468839
406	0.044511773
407	0.014529291
408	0.015262118
409	0.15873416
410	0.048136245
411	0.08439556
412	0.005655549
413	0.013046731
414	0.9654475
415	0.9134769
416	0.14376605
417	0.0058305725
418	0.033021405
419	0.04771365
420	0.042877365
421	0.8732596
422	0.95853966
423	0.04870377
424	0.25267923
425	0.0068130433
426	0.04333501
427	0.076067954
428	0.0894721
429	0.052571364
430	0.1699243
431	0.039455295
432	0.0053054364
433	0.013945996
434	0.008888352
435	0.89446497
436	0.84881246
437	0.2735016
438	0.20714445
439	0.9457447
440	0.93577665
441	0.061578866
442	0.1403553
443	0.9157906
444	0.039532803
445	0.10540453
446	0.013568409
447	0.0633757
448	0.019616593
449	0.11973663
450	0.25172165
451	0.10867709
452	0.034843978
453	0.95476204
454	0.04461884
455	0.01869038
456	0.11725413
457	0.9757003
458	0.2736774
459	0.12914057
460	0.29340023
461	0.08543373
462	0.029947134
463	0.99552494
464	0.048741255
465	0.5253845
466	0.0141259525
467	0.040630132
468	0.010562088
469	0.7476844
470	0.045933366
471	0.025473895
472	0.04546702
473	0.0046432912
474	0.06433455
475	0.53573114
476	0.66307276
477	0.17230587
478	0.30875954
479	0.90304685
480	0.9745515
481	0.022295253
482	0.93151784
483	0.24813533
484	0.035912875
485	0.071279444
486	0.0979554
487	0.07964693
488	0.00814584
489	0.014437888
490	0.11727578
491	0.01545052
492	0.011195068
493	0.062961325
494	0.18923225
495	0.66141075
496	0.84272987
497	0.009302241
498	0.02786556
499	0.13662916
500	0.05337991
501	0.080397755
502	0.092047445
503	0.0025480252
504	0.83266824
505	0.12515666
506	0.02243872
507	0.11706753
508	0.018813126
509	0.02735298
510	0.067843
511	0.27173036
512	0.028872853
513	0.83598304
514	0.8732048
515	0.17501962
516	0.06843147
517	0.019373298
518	0.012227981
519	0.008169128
520	0.07581204
521	0.006706315
522	0.037068386
523	0.02643177
524	0.04981248
525	0.5484773
526	0.039415177
527	0.054622453
528	0.81668746
529	0.0028933245
530	0.041443743
531	0.010772187
532	0.06276626
533	0.04504836
534	0.002813275
535	0.4109978
536	0.26293436
537	0.040996768
538	0.082494676
